src,trg
sertainly,certainly
sertificate,certificate
sertificates,certificates
sertification,certification
servand,servant
servise,service
servises,services
sesond,second
settlemens,settlement
shanks,thanks
she,the
sheap,cheap
sheated,cheated
sheating,cheating
sheese,cheese
shef,chef
shess,chess
shewing,chewing
shicken,chicken
shildren,children
shin,thin
shink,think
shirs,shirt
shlimp,shrimp
shoose,choose
shore,chore
shores,chores
shoult,should
shree,three
sides,sites
sincerery,sincerely
sinema,cinema
sinse,since
sinserely,sincerely
sircumstances,circumstances
site,side
sitizen,citizen
situaded,situated
sity,city
skilt,skirt
skird,skirt
skirs,skirt
slising,slicing
soats,coats
sofdwares,softwares
sold,cold
sole,sore
solidary,solitary
some,come
sonfidence,confidence
sonfident,confident
sool,cool
sourse,course
sourse,source
spanich,spanish
sparkring,sparkling
spase,space
spasious,spacious
spend,spent
spent,spend
spenting,spending
spesial,special
spesialist,specialist
spesific,specific
spid,spit
spide,spite
spisy,spicy
spreadsheeds,spreadsheets
stading,stating
stadion,station
stadions,stations
stadistics,statistics
stakehorders,stakeholders
standart,standard
standarts,standards
stantardize,standardize
stard,start
starded,started
starder,starter
starding,starting
stards,starts
startet,started
statium,stadium
steleo,stereo
streed,street
stresset,stressed
strongry,strongly
studend,student
studends,students
studens,student
studiet,studied
stutied,studied
subermarket,supermarket
subsity,subsidy
suchi,sushi
sucsess,success
sucsessful,successful
suesday,tuesday
suggections,suggestions
suice,juice
sulf,surf
sulfs,surfs
sum,sue
sungrasses,sunglasses
sunscleen,sunscreen
supermarked,supermarket
supervition,supervision
supject,subject
surh,surf
surprice,surprise
surpriced,surprised
surprices,surprises
surver,survey
sush,such
suspence,suspense
suxedo,tuxedo
sweader,sweater
feeks,feeds
feel,feed
feeling,feeding
feet,feel
fell,felt
felt,fell
fentival,festival
fhone,phone
fhoto,photo
fhotos,photos
fisish,finish
flatform,platform
flease,please
fnd,and
format,formal
forwand,forward
fottball,football
foun,four
fragnant,fragrant
frefer,prefer
fresch,french
frograms,programs
funthermore,furthermore
gandening,gardening
ganmen,garmen
gardering,gardening
gartic,garlic
geo,get
gerder,gender
gereral,general
girdfriends,girlfriends
girger,ginger
gives,given
golp,golf
gook,good
gool,good
gound,gourd
graduatly,gradually
grafh,graph
grandfa,grandpa
hand,hard
hanry,harry
hark,hard
hazands,hazards
headfhones,headphones
headphoses,headphones
healphones,headphones
helf,help
hodiday,holiday
homemake,homemade
homeword,homework
hunband,husband
identily,identity
ilalian,italian
immedialely,immediately
immuse,immune
impontant,important
importart,important
indonesias,indonesian
induntry,industry
inlands,islands
interenting,interesting
inventigations,investigations
iroring,ironing
issurance,insurance
jamen,james
jaruary,january
jears,jeans
jonathas,jonathan
josefh,joseph
juliciary,judiciary
junt,just
keyboarks,keyboards
kinks,kinds
knocded,knocked
lall,tall
landdord,landlord
laurdry,laundry
leaven,leaves
letras,tetras
lhe,the
lide,like
liltle,little
linten,listen
lintening,listening
lister,listen
listering,listening
listes,listen
litlle,little
liverpood,liverpool
locatel,located
loltery,lottery
londos,london
look,took
mair,main
mais,main
make,made
managemert,management
manchesten,manchester
manketing,marketing
manufactuning,manufacturing
many,mary
mary,many
meats,meals
meel,meet
mensage,message
mes,men
mexicas,mexican
midlle,middle
minuten,minutes
mirron,mirror
monning,morning
mornirg,morning
morring,morning
morth,month
movien,movies
munder,murder
narely,rarely
nefhew,nephew
neven,never
nice,rice
noon,soon
numor,rumor
ofenly,openly
ofter,often
olk,old
ong,org
onganize,organize
opporturities,opportunities
opten,often
orden,order
ordened,ordered
othen,other
panents,parents
pard,park
peofle,people
pind,pink
ploor,floor
poot,pool
por,for
prefare,prepare
profil,profit
properly,property
propone,propose
ptastic,plastic
purchaning,purchasing
raincoal,raincoat
rair,rain
rarety,rarely
reak,read
regands,regards
rek,red
relaled,related
rentaurant,restaurant
requiremests,requirements
reschedute,reschedule
retating,relating
rewanding,rewarding
right,night
rown,rows
rusway,runway
saxofhone,saxophone
seanons,seasons
secordly,secondly
sever,seven
severty,seventy
shotting,shooting
shoull,should
showen,shower
sincerety,sincerely
sirk,sink
sisten,sister
sixtees,sixteen
soos,soon
spead,speak
speciatities,specialities
specipics,specifics
spell,spelt
spoken,spokes
stainway,stairway
stairless,stainless
starten,starter
statios,station
storen,stores
streel,street
suggent,suggest
fees,feel
fisteen,fifteen
fisty,fifty
fixty,sixty
flossingkon,flossington
frisdees,frisbees
goob,good
goodbay,goodday
guality,quality
guickly,quickly
guite,quite
hadit,habit
hasf,half
hasing,having
hav,has
healtly,healthy
helm,help
helphess,helpless
hength,length
hight,light
hoje,hope
home,come
home,hope
hostital,hospital
hote,hope
houve,house
hunch,lunch
husdand,husband
increbible,incredible
jants,pants
jod,job
jods,jobs
keydoards,keyboards
lake,late
lalad,salad
lanquage,language
lanquages,languages
lask,last
lelp,help
litthe,little
littye,little
loot,look
lou,you
ltb,ltd
marteting,marketing
mayde,maybe
mot,mop
mysels,myself
neardy,nearby
nethew,nephew
niglt,night
noboby,nobody
noobles,noodles
numder,number
obstaches,obstacles
ohd,old
oreras,operas
othep,other
outqoing,outgoing
pan,man
pandolph,randolph
paragrath,paragraph
part,park
pater,paper
pean,jean
peans,jeans
picket,ticket
pint,pink
plone,phone
pop,pot
popato,potato
popatoes,potatoes
prerare,prepare
pupple,purple
pussia,russia
pyaying,playing
quaranteed,guaranteed
quests,guests
quilty,guilty
quitar,guitar
raincoap,raincoat
rarty,party
receising,receiving
recertionist,receptionist
reguire,require
reguirements,requirements
reqards,regards
reqularly,regularly
requlatory,regulatory
rerfect,perfect
restect,respect
robbeb,robbed
rut,put
saxoplone,saxophone
sclool,school
scokland,scotland
scuda,scuba
seed,feed
sep,set
sesen,seven
sharf,scarf
sheep,sleep
sheeping,sleeping
shirk,shirt
shork,short
sifty,fifty
sinally,finally
sive,five
skirk,skirt
skrike,strike
slould,should
sluffy,fluffy
sneater,sneaker
socts,socks
speak,steak
stafs,staff
stills,skills
stirt,skirt
strick,strict
strickly,strictly
suburds,suburbs
supprise,surprise
supprised,surprised
supprisingly,surprisingly
surermarket,supermarket
sweaker,sweater
sweakers,sweaters
sweet,sweep
swepp,swept
fieness,fitness
fifeeen,fifteen
fiftten,fifteen
filally,finally
fob,job
fom,for
gardnning,gardening
geeting,getting
gife,gift
gragh,graph
graw,gray
grettings,greetings
grew,grey
habies,habits
haspberry,raspberry
havt,have
head,read
heally,really
hide,ride
hight,right
hobbed,robbed
honny,honey
honnymoon,honeymoon
hope,rope
housekkeper,housekeeper
housewore,housework
houst,house
howling,rowling
importane,important
introduct,introduce
jarket,jacket
johe,john
juick,juice
juine,juice
juny,july
keowledge,knowledge
kitchet,kitchen
knnes,knees
knoce,knock
knonked,knocked
lase,last
lay,law
leal,lean
learl,learn
lease,least
lefe,left
lift,life
liftstyle,lifestyle
likt,like
liverpoon,liverpool
lose,lost
lost,lose
lunky,lucky
macufacturing,manufacturing
main,mail
mararajahs,maharajahs
markening,marketing
mean,meat
medicice,medicine
metting,meeting
mettings,meetings
mile,milk
monher,mother
moreing,morning
morn,more
motica,monica
movits,movies
murh,much
musicials,musicians
namt,name
nend,need
ney,new
nict,nice
nighe,night
nine,nice
nineretail,nileretail
ninetten,nineteen
noverber,november
numbtr,number
offine,office
oftet,often
ond,old
onder,older
opet,open
opportulities,opportunities
oppositt,opposite
outlile,outline
owe,own
pack,park
pecfect,perfect
perfert,perfect
pick,pink
pils,pins
pinture,picture
pinturesque,picturesque
pionner,pioneer
playfun,playful
plenny,plenty
poctable,portable
ponynail,ponytail
post,pose
practict,practice
pray,gray
probias,phobias
pune,punk
rappy,happy
readphones,headphones
reat,meat
reavier,heavier
reavy,heavy
relp,help
remerber,remember
remerbered,remembered
requirtment,requirement
respert,respect
reture,return
rict,rice
righe,right
roats,coats
roneymoon,honeymoon
ropefully,hopefully
rorse,horse
rouse,house
saining,sailing
saldals,sandals
saltiago,santiago
searter,starter
seat,sean
secoed,second
seed,send
seeting,setting
sekking,seeking
sen,see
seraight,straight
shihts,shirts
shire,shirt
shores,shorts
shound,should
siecerely,sincerely
sige,sign
sin,sit
sistem,sister
sixey,sixty
sixtten,sixteen
snkakers,sneakers
sofeware,software
somtthing,something
spart,spare
srort,short
steakers,sneakers
straighe,straight
streee,street
streen,street
suddelly,suddenly
suddetly,suddenly
supermacket,supermarket
sustaitability,sustainability
swimminp,swimming
mauch,march
guaduated,graduated
guandmother,grandmother
fouty,forty
fou,for
foutune,fortune
fertival,festival
finishen,finished
finully,finally
finuncial,financial
fisk,fish
fist,firt
flactuation,fluctuation
flowes,flower
fluttered,flattered
foa,for
foar,four
fooh,food
fortx,forty
fou,for
foutune,fortune
fouty,forty
frenck,french
frhrenheit,fahrenheit
frvorite,favorite
fubrics,fabrics
fun,fan
funs,fans
garnening,gardening
gaslic,garlic
gay,guy
gays,guys
ghoes,shoes
ginges,ginger
glover,gloves
glud,glad
glusses,glasses
goves,loves
grbriel,gabriel
grees,greek
grex,grey
grous,group
grvin,gavin
guaduated,graduated
guandmother,grandmother
hais,hair
hanted,hunted
hants,pants
hardrobes,wardrobes
hare,have
has,was
hawait,hawaii
hear,wear
heary,heavy
heather,weather
heaving,hearing
heople,people
herdphones,headphones
hes,her
hidded,hidden
hife,wife
hir,his
hnow,know
hnowing,knowing
hochey,hockey
hork,work
horking,working
horry,worry
horse,house
hot,how
houas,hours
house,horse
howerer,however
humburger,hamburger
humilton,hamilton
hummer,hammer
hundren,hundred
huppy,happy
hurband,husband
husbund,husband
hut,hat
ihe,the
ihis,this
impostant,important
indastry,industry
infrastracture,infrastructure
inspectiong,inspections
instract,instruct
instracted,instructed
instraction,instruction
instractions,instructions
instractor,instructor
instructos,instructor
interestins,interesting
intesesting,interesting
intitations,invitations
introdaction,introduction
invitationg,invitations
inviter,invites
jachet,jacket
jalia,julia
jamp,jump
jamper,jumper
jamping,jumping
jane,june
jast,just
jouaney,journey
jum,jam
junuary,january
kad,had
kexboards,keyboards
keyboauds,keyboards
keybourd,keyboard
keybourds,keyboards
kitcken,kitchen
knoch,knock
knoched,knocked
knoching,knocking
knocken,knocked
knowlenge,knowledge
laggage,luggage
lanch,lunch
lanchtime,lunchtime
landload,landlord
launday,laundry
leard,learn
learded,learned
lihe,like
liitle,little
likewike,likewise
litile,little
load,loan
load,loud
lons,long
luch,luck
lucks,lacks
lunck,lunch
lunguages,languages
mach,much
mam,mum
manafacturing,manufacturing
marta,maria
mashrooms,mushrooms
mast,must
matual,mutual
mauch,march
mediam,medium
meetins,meeting
mel,meg
michey,mickey
mickael,michael
microware,microwave
minlands,midlands
misael,mikael
moatgage,mortgage
move,more
mugic,music
munufacturer,manufacturer
muny,many
murch,march
murried,married
museam,museum
mutigate,mutilate
namber,number
neen,need
neutrul,neutral
neyt,next
nortweast,northeast
occapations,occupations
oldes,older
oppoutunities,opportunities
orckestras,orchestras
oschestra,orchestra
othes,other
ous,our
pablic,public
panctual,punctual
pank,punk
peasonality,personality
perhups,perhaps
pesson,person
petersburs,petersburg
ping,pins
pinh,pink
playes,player
plrying,playing
polyestes,polyester
pos,pop
prodaction,production
prodacts,products
progrum,program
promove,promote
promoved,promoted
promoves,promotes
prrents,parents
purchage,purchase
pusta,pasta
rag,rug
raincout,raincoat
ran,run
ranning,running
ranny,runny
rans,runs
ransached,ransacked
ranway,runway
rassia,russia
rassian,russian
regardins,regarding
regulas,regular
regurds,regards
relional,regional
ren,red
requised,required
rerious,serious
restrurant,restaurant
restrurants,restaurants
rewarning,rewarding
richety,rickety
rised,risen
robben,robbed
roud,road
rubbit,rabbit
rubbits,rabbits
ruiny,rainy
run,ran
runglasses,sunglasses
runny,sunny
ruspberry,raspberry
sabway,subway
sach,such
saffer,suffer
saffering,suffering
saler,sales
sammer,summer
san,sun
sanday,sunday
sandays,sundays
sandwickes,sandwiches
sanglasses,sunglasses
sanny,sunny
sanscreen,sunscreen
sants,pants
satarday,saturday
satisfuction,satisfaction
satuadays,saturdays
saturnays,saturdays
sckool,school
seading,reading
segards,regards
sereral,several
serrant,servant
shaked,shaken
sharh,shark
sheak,speak
sheary,sherry
sheater,sweater
shoppins,shopping
showd,shown
shubby,shabby
shype,skype
sichness,sickness
sicnic,picnic
simplx,simply
singer,ginger
sirters,sisters
sistes,sister
ske,she
skirt,shirt
skirts,shirts
skopping,shopping
snocked,knocked
soal,soul
soap,soup
sochs,socks
somethere,somewhere
soup,soap
souvenias,souvenirs
spinack,spinach
spoked,spoken
squasd,squash
sranny,granny
stadied,studied
stadies,studies
stady,study
stadying,studying
staff,stuff
starrins,starring
startes,starter
steater,sweater
steet,sweet
stoch,stock
stoled,stolen
stomack,stomach
studium,stadium
studted,studied
stunding,stunning
stunent,student
sturbucks,starbucks
sturted,started
sturtup,startup
summurize,summarize
sun,san
sunbuthing,sunbathing
sundwich,sandwich
sundwiches,sandwiches
sunglusses,sunglasses
sutisfied,satisfied
suturday,saturday
suturdays,saturdays
sweatea,sweater
sweatskirt,sweatshirt
swerter,sweater
swum,swam
feety,fifty
feif,five
feld,feel
fell,fall
fell,feel
felling,feelind
felling,feeling
fellings,feelings
fells,feels
felrenhait,fahrenheit
femenine,feminine
ferets,ferret
ferinds,friends
fesh,fish
fet,fat
fether,father
fett,feet
feture,future
fevrr,fever
fevteen,fifteen
fexed,fixed
fghrenheit,fahrenheit
fhater,father
fice,face
fief,five
field,feels
fien,find
fience,fiance
fiendlly,friendly
fiers,first
fiesbee,frisbee
fifhy,fifty
fifit,fifty
fifta,fifty
fiify,fifty
file,fill
fill,feel
filling,feeling
fillings,feelings
finde,found
findigs,finding
fine,five
finisher,finished
finist,finish
fire,fair
fire,free
firefhirter,firefighter
firengaith,fahrenheit
firley,fairly
firneds,friends
firth,first
firthy,thirty
firut,fruit
fishining,finishing
fishioned,fashioned
fist,fish
fisth,first
fithy,fifty
fiver,fever
fivi,five
flaours,flowers
flied,field
flighlight,flashlight
fliied,filled
flishlight,flashlight
flood,floor
floosington,flossington
florada,florida
flore,floor
floride,florida
floripa,florida
florr,floor
flossinkton,flossington
flossy,flashy
flour,floor
floures,flowers
flout,flute
flovers,flowers
flowr,floor
flshing,fishing
fluence,fluency
fluenty,fluency
flys,flew
flyw,flew
fmmily,family
fnishide,finished
foctory,factory
foer,four
foerteen,fourteen
fogert,forget
foi,for
folling,falling
follr,floor
fome,from
fomous,famous
fomr,from
fonction,function
fonctions,functions
fondamental,fundamental
fondeur,founder
food,feed
fooice,office
foom,from
foor,food
foor,four
foor,roof
foorteen,fourteen
foot,feet
footbaal,football
footband,football
footboll,football
footbool,football
footebol,football
footware,footwear
forbbiden,forbidden
forbiddin,forbidden
forbitten,forbidden
forcusing,focussing
ford,four
fore,four
forergn,foreign
forescat,forecast
foreword,forwards
forgat,forget
forgat,forgot
forgein,foreign
forgiue,forgive
forighn,foreign
forious,furious
forivate,favorite
former,farmer
formers,farmers
forn,born
forniture,furniture
fornitures,furnitures
forte,forty
fortheen,fourteen
forthermore,furthermore
fortunalety,fortunately
fortungtely,fortunately
forvard,forward
forwoed,forward
forword,forward
forwrod,forward
fother,father
fotho,photo
fothy,forty
fouce,focus
foult,fault
foumas,famous
fount,front
fouoteen,fourteen
fourt,forty
fourtenn,fourteen
foury,forty
fouteenn,fourteen
foutheen,fourteen
fouthr,fourth
fovarite,favorite
fovarite,fovorite
fovorite,favorite
fovority,favorite
fovourite,favourite
fow,for
fowr,four
fowrteen,fourteen
fpor,four
fraday,friday
frahenheit,fahrenheit
frainds,friends
fram,from
franca,france
france,french
francfort,frankfurt
franch,french
franchiee,franchise
franci,france
frash,fresh
freake,freaky
freakfast,breakfast
freand,friend
freands,friends
freday,friday
freeking,freaking
freends,friends
freesbe,frisbee
freesby,frisbee
freidy,friday
frence,france
frence,french
french,france
frenchise,franchise
frendely,friendly
frendily,friendly
frendley,friendly
frends,friend
frenids,friends
frequantly,frequently
frequence,frequency
frequetily,frequently
fresbee,frisbee
fresbie,frisbee
fressbi,frisbee
fressness,freshness
frest,fresh
freund,friend
freunds,friends
freynd,friend
friand,friend
friandly,friendly
friands,friends
fridedly,friendly
fridens,friends
fridey,friday
friedom,freedom
frieds,friend
frience,friends
friendgirl,girlfriend
friesee,frisbee
friger,fridge
fright,fights
frinde,friend
frindely,friendly
frindes,friends
frindley,friendly
frirs,first
frisbbe,frisbee
frisbie,frisbee
frish,fresh
frite,fried
frits,first
frizon,frozen
frlead,friend
frömbsdorff,frombsdorff
froo,from
frou,four
frouit,fruits
frre,free
frults,fruits
fruo,four
frurts,fruits
frutes,fruits
fruts,fruit
fucused,focused
fuil,fuel
fuirt,fruit
fuirts,fruits
fukking,fucking
fulk,folk
fur,for
furacaine,hurricane
fure,four
furter,future
furtune,fortune
fusic,music
futher,future
gabinets,cabinets
gaderning,gardening
gage,cage
gairo,cairo
galifornia,california
galk,walk
galls,goals
galtic,garlic
gamas,games
ganada,canada
gandmonther,grandmother
gardeneng,gardening
gardining,gardening
gardrobe,wardrobe
gareer,career
garfic,garlic
gary,grey
gat,get
gat,got
gat,guy
gaven,gavin
gaven,given
gaves,gives
geams,games
gears,years
geart,great
gegards,regards
gegional,regional
gelatina,gelatine
gema,game
geme,game
genecology,gynecology
geneve,geneva
genger,ginger
gengir,ginger
geniously,genuinely
gentil,gentle
gentlelmany,gentlemanly
gentleman,gentlemen
geo,got
geodezji,geodesic
geoquemistry,geochemistry
gep,gap
geraration,generation
gerneal,general
gernny,granny
getlement,gentlemen
gevin,gavin
ghotic,gothic
ght,the
giad,glad
gig,big
gilf,gift
gilt,gift
gine,give
gingko,ginger
gire,girl
girlfrieds,girlfriend
girly,gaily
gitf,give
given,gavin
gives,gifts
glaric,garlic
gldd,glad
gled,glad
glod,glad
glogged,clogged
glommy,gloomy
god,dog
godd,good
gode,code
gods,dogs
gogerous,gorgeous
goiânia,goiania
goigo,going
gold,good
goleman,coleman
gollege,college
goming,coming
gonna,going
goodbee,goodbye
goodboy,goodbye
goodbyb,goodbye
goodbyu,goodbye
googbay,goodbye
goognigth,goodnight
gossipy,gossips
gove,gave
goverments,government
governants,government
govin,gavin
grade,great
gradfull,grateful
graduction,graduation
gradueded,graduated
graffies,giraffes
grain,gavin
gramado,granada
grance,greece
grappa,grapes
grapped,grabbed
grapping,grabbing
grassy,greasy
grate,great
gratuaded,graduated
gratuete,graduate
grau,grey
graw,grey
gray,grey
gream,cream
greany,granny
greastet,greatest
greaters,greatest
greating,grateful
grecia,gracia
greet,great
gress,green
gress,greet
grey,gray
grifters,grafters
grigory,gregory
growded,crowded
grown,brown
guatuated,graduated
guilin,cullin
gungdong,guandong
gurtia,guitar
gustes,guests
gut,get
gut,got
gvements,garments
habby,happy
habilites,abilities
had,her
haerphones,headphones
haft,half
hagh,high
hainan,hawaii
hakes,takes
halla,hello
halle,hello
ham,him
hamesome,handsome
hample,humble
handeds,handers
handerson,henderson
handphones,headphones
hane,have
hangkang,hongkong
haning,having
hanry,henry
hansbad,husband
hape,help
hape,hope
hapy,have
haras,hares
hardphones,headphones
harveen,harvard
hasmend,husband
hasnand,husband
haspend,husband
haste,hates
hat,hot
hatter,hotter
hausmeister,housekeeper
hava,have
haviam,having
havy,have
hayyp,happy
headline,headlong
headling,headline
headphope,headphone
headphoue,headphone
headphoues,headphones
headpnohes,headphones
heand,hands
heap,hope
hear,hair
hear,head
hear,here
hearboards,headphones
heaspen,husband
heat,hate
heathly,healthy
heathy,health
heave,heavy
heaverf,heavier
hed,hat
heir,hair
heir,here
helf,half
hella,hello
hells,heals
hells,heels
hely,help
hem,him
hendphones,headphones
hept,held
hera,here
heras,years
here,hear
herry,harry
hes,his
heva,have
hhes,this
hier,hair
hier,here
highter,highest
hills,heels
him,his
hire,hair
hirthy,thirty
hive,have
hjw,how
hobe,have
hobits,habits
hoese,house
holanda,holland
holla,hello
holle,hello
holliday,holidays
holling,rowling
holloween,halloween
holp,hope
homans,humans
homewaks,homework
homilton,hamilton
homour,humour
hone,hong
honeyroom,honeymoon
hoobies,hobbies
hoog,hong
hools,hoops
hoolywood,hollywood
hoon,room
hoop,hope
hoorible,horrible
hope,help
hopistal,hospital
hopp,hope
hoppies,hobbies
hoppy,happy
hoppy,hobby
hopy,hope
hoquei,hockey
horever,however
horiffying,horrifying
horison,horizon
horlday,holiday
horry,hurry
hortcultural,horticulture
hosband,husband
hosiptol,hospital
hospetal,hospital
hospetol,hospital
hospitai,hospital
hospitel,hospital
hospitol,hospital
hostal,hostel
hostipal,hospital
hotal,hotel
hoteller,hotelier
hou,hot
hou,how
houar,hours
houaw,house
houband,husband
houling,hauling
houm,home
houmtown,hometown
houp,hope
hours,horse
hours,house
hourswife,housewife
housban,husband
house,hours
houseceaper,housekeeper
housekepper,housekeeper
housh,house
housis,houses
housital,hospital
houswork,homework
hove,hope
hovewer,however
how,who
howewer,however
howr,hour
hugh,huge
hullo,hello
humaniterian,humanitarian
humen,human
humm,hmmm
hunappy,unhappy
hundert,hundred
hundertand,understand
hundrid,hundred
huney,honey
hunsbad,husband
