src,trg
befor,before
begining,beginning
beter,better
bottelneck,bottleneck
bougth,bought
branche,branch
brasil,brazil
brind,bring
bruss,brush
caled,called
carreers,careers
celsios,celsius
chineese,chinese
chirstmas,christmas
chocollate,chocolate
colleghe,college
collegues,colleagues
commited,committed
compagny,company
considere,consider
controled,controlled
coocking,cooking
cookind,cooking
copromise,compromise
cosole,console
couln'dt,couldn't
coulor,color
courtains,curtains
criticals,critical
criticial,critical
daught,daughter
definitly,definitely
deparment,department
dependance,dependence
desck,desk
desmotivated,demotivated
disapeared,disappeared
disappered,disappeared
discribe,describe
dissapointing,disappointing
doens't,doesn't
does't,doesn't
doesn,t doesn't
dolars,dollars
doller,dollar
dont,don't
doubl,double
drainks,drinks
drees,dress
eachother,each other
earing,earring
easly,easily
egineer,engineer
elliminate,eliminate
emplyoees,employees
encorage,encourage
encourageou,encourage
englis,english
englisch,english
english,english
esactley,exactly
estabilish,establish
estimulate,estimate
everning,evening
everyhing,everything
evry,every
exausting,exhausting
experince,experience
fabbrique,fabric
familiy,family
faviour,favor
favorit,favorite
finacial,financial
forthy,forty
fourthy,forty
fourty,forty
fron,from
fryday,friday
fuit,fruit
futher,further
generetion,generation
geting,getting
godbye,goodbye
goodb,goodbye
hapenned,happened
happend,happened
happend,happens
hardwork,hard work
hasnt,hasn't
heve,have
hier,here
hve,have
ican,i can
ilke,like
im,i'm
imediatally,immediately
impiant,implant
importante,important
industrie,industries
ingles,english
insside,inside
instalations,instalations
instrumente,instrument
intenational,international
intererested,interested
intermet,internet
japanesse,japanese
joine,join
juanuary,january
keybourd,keyboard
knockd,knocked
laughting,laughing
leavin,leaving
litle,little
livin,living
maby,maybe
machins,machines
managew,manager
mecanical,mechanical
monday,monday
monent,moment
moniter,monitor
muisic,music
museun,museum
nigth,night
occured,occurred
olds,old
opcional,optional
organizaded,organized
partener,partner
participed,participated
passangers,passengers
payed,paid
pepers,peppers
pepoles,people's
permitt,permit
pharmacetical,pharmaceutical
plat,play
pratice,practice
prefessional,professional
pricelist,price list
quikly,quickly
rathen,rather
realy,really
recieve,receive
regardles,regardless
requerements,requirements
respectivly,respectively
revelant,relevant
riany,rainy
rigth,right
saturay,saturday
scord,score
seasen,season
selfgoing,self-going
sexaual,sexual
sincerly,sincerely
sinse,since
sisty,sixty
somtimes,sometimes
staion,station
storys,stories
studing,studying
subjet,subject
succed,succeed
superviser,supervisor
suprise,surprise
sweter,sweater
swiming,swimming
tacher,teacher
tendenteces,tendencies
thera,there
therty,thirty
thireen,thirteen
thoughful,thoughtful
thougth,thought
thre,there
thrity,thirty
thurday,thursday
tomorow,tomorrow
trainning,training
travell,travel
turesday,thursday
turst,trust
undestanding,understanding
untill,until
wached,watched
weaing,wearing
wearin,wearing
wearning,wearing
wednedday,wednesday
wednessday,wednesday
weigth,weight
wenesday,wednesday
wensday,wednesday
wether,weather
wheater,weather
whensday,wednesday
whith,with
wich,which
womens,women
wondrobe,wardrobe
writte,write
writting,writing
your'e,you're
&,and
reas,read
playes,plays
compuoters,computers
keyboars,keyboard
haerdphones,headphones
headphens,headphones
keyboads,keyboards
1st,first
tablo,1 table
monthes,months
beatiful,beautiful
bussines,business
minimun,minimum
bout,about
basseball,baseball
ccessory,accessory
chiken,chicken
yelow,yellow
especial,special
necesseraly,necessarily
intreseting,interesting
lkie,like
merica,america
coffe,coffee
nother,another
biger,bigger
happines,happiness
swetter,sweater
propriate,appropriate
relevan,relevant
shover,shower
waful,awful
merried,married
aadd,add
aafter,after
aafternoon,afternoon
aalso,also
aand,and
aarea,area
aaugust,august
abality,ability
abaout,about
abarbecue,barbecue
abaut,about
abbilities,abilities
abbility,ability
abble,able
abbreviatons,abbreviations
abbtractive,attractive
abcolutely,absolutely
abd,and
abdervisements,advertisements
abducion,abduction
abied,abide
abilies,abilities
abilit,ability
abilites,abilities
abilitites,abilities
abilitiy,ability
abilits,abilities
abilitys,abilities
abillitles,abilities
abillity,ability
abilty,ability
abitious,ambitious
abligation,obligation
ablilty,ability
ablity,ability
ablosutely,absolutely
aboat,about
aboce,above
aboit,about
abolutely,absolutely
abondon,abandon
aboot,about
aboout,about
abord,aboard
abosolut,absolute
abot,about
abou,about
aboundant,abundant
zipe,zip
ziro,zero
zise,size
zlso,also
zmazing,amazing
zoekeeper,zookeeper
zookeaper,zookeeper
zookeeeper,zookeeper
zookeep,zookeeper
zookeepeer,zookeeper
zookeepr,zookeeper
zookepeer,zookeeper
zookeper,zookeeper
zookepers,zookeepers
zookepper,zookeeper
zookieeper,zookeeper
zookipper,zookeeper
zookper,zookeeper
zookpper,zookeeper
zoologico,zoological
zoon,zoo
zoonkeeper,zookeeper
zoookeeper,zookeeper
zooz,zoos
zorry,sorry
zre,are
ypi,you
ypu,you
ypur,your
yr,your
yrge,urge
yrs,years
yr,year
yu,you
yughurt,yogurt
yung,young
yunger,younger
yungest,youngest
yuo,you
yuong,young
yuor,your
yuorself,yourself
yuou,you
yur,your
yurself,yourself
yursell,yourself
yus,yes
yv,tv
ywenty,twenty
ywllow,yellow
yyou,you
zepelin,zeppelin
zepplin,zeppelin
zimbabve,zimbabwe
yourk,york
yourney,journey
yours,your
yoursalf,yourself
yoursalfe,yourself
yoursdle,yourself
yoursef,yourself
yourseif,yourself
yoursel,yourself
yourselfs,yourselves
yourselft,yourself
yourselif,yourself
yoursell,yourself
yoursellf,yourself
yourselt,yourself
yourselve,yourself
yoursely,yourself
yourserf,yourself
yourserlf,yourself
yoursesf,yourself
yourslf,yourself
yourteen,fourteen
yous,you
yous,yours
youse,house
yousef,yourself
youself,yourself
yousr,your
youssef,youssef
yout,your
youtr,your
youtself,yourself
youu,you
youy,you
yow,how
yoyr,your
yoyur,your
youngst,youngest
younsters,youngsters
younth,youth
youny,young
youo,you
sincely,sincerely
your,you are
your,you're
your're,you are
your're,you're
youre,you're
youner,younger
young,younger
younge,young
youngers,younger
youngers,youngsters
younges,youngest
younget,youngest
youngh,young
youngher,younger
abserve,observe
absorve,absorb
absorved,absorbed
absloutely,absolutely
abslutely,absolutely
absolitely,absolutely
absololutely,absolutely
absoltutely,absolutely
absoluely,absolutely
absolutaley,absolutely
absolutally,absolutely
absolutaly,absolutely
absolutele,absolutely
absoluteley,absolutely
absolutelly,absolutely
absolutery,absolutely
absolutey,absolutely
absolutily,absolutely
absolutle,absolutely
absolutletly,absolutely
absolutley,absolutely
absolutly,absolutely
absolutrly,absolutely
absoluty,absolutely
absotuletly,absolutely
absotutely,absolutely
absouletely,absolutely
absoulutey,absolutely
absoulutly,absolutely
absultely,absolutely
absulutely,absolutely
absulutly,absolutely
absenteism,absenteeism
abserlutely,absolutely
abour,about
abourt,about
abourt,abort
aboute,about
abouth,about
abovfe,above
abput,about
abrad,abroad
expirence,experience
abroade,abroad
abrod,abroad
abroud,abroad
abscence,absence
abscent,absent
absend,absent
absense,absence
absured,absurd
abtained,obtained
abuot,about
abut,about
abverts,adverts
abyde,abide
acadamy,academy
academi,academic
academican,academician
academique,academic
academy,academic
academyc,academic
acadenic,academic
acadimic,academic
acadimy,academy
acauntent,accountant
accademic,academic
accademy,academy
accasionally,occasionally
accasionaly,occasionally
accationally,occasionally
accaunt,account
accauntant,accountant
accaunted,accountant
accaunting,accounting
acccents,accents
acccept,accept
accces,access
acccounting,accounting
accecoires,accessories
accedent,accident
acceditation,accreditation
accedited,accredited
accen,accent
accendential,accidental
accep,accept
acceptabe,acceptable
acceptabel,acceptable
accepte,accept
acces,access
accesaries,accessories
accesary,accessory
accesible,accessible
accesories,accessories
accesorioes,accessories
accesory,accessory
accesorys,accessories
accessable,accessible
accessaries,accessories
accessary,accessory
accessment,assessment
accessoires,accessories
accessores,accessories
accessorie,accessories
accessorios,accessories
accessorize,accessories
acchive,achieve
accidant,accident
accidantal,accidental
accidence,accident
accidend,accident
accidente,accident
accidential,accidental
accidently,accident
accidently,accidentally
accidents,accident
accient,ancient
accindent,accident
accion,action
accived,achieved
accivities,activities
accoding,according
accodring,according
accomadation,accommodation
accomlish,accomplish
accommedation,accommodation
accomodate,accommodate
accomodated,accommodated
accomodatin,accommodation
accomodating,accommodating
accomodation,accommodation
accomodations,accommodation
accomodations,accommodations
accomopanied,accompanied
accompagned,accompanied
accompagny,accompany
accompained,accompanied
accomplashiment,accomplishment
accomplihs,accomplish
accomplishmnt,accomplishment
accomplissement,accomplishment
accont,account
acconts,accounts
accontancy,accountancy
accontant,accountant
acconting,accounting
acconunt,account
accordding,according
accordeon,accordion
accordind,according
accordinghly,accordingly
accoring,according
accotant,accountant
accouanted,accountant
accountament,announcement
accountan,accountant
accountance,accountancy
accountand,accountant
accountant,accounting
accountat,accountant
accounte,accountant
accountency,accountancy
accountent,accountant
accountig,accounting
accoustic,acoustic
accout,account
accouting,accounting
accpt,accept
accptable,acceptable
accquired,acquired
accrediter,accreditor
accroding,according
accros,across
accross,across
accsesories,accessories
acctually,actually
acctualy,actually
accturaly,actually
accumuled,accumulated
accured,accrued
accurrence,occurrence
accurs,occurs
accustumed,accustomed
acdamic,academic
acdemic,academic
acedamy,academy
acedemic,academic
acedemics,academics
acedemy,academy
acept,accept
aceptable,acceptable
acepted,accepted
acepting,accepting
acertive,assertive
acess,access
acessorie,accessories
acessories,accessories
acessorise,accessories
acessory,accessory
acesssorys,accessories
acessuaries,accessories
acguainted,acquainted
acheaved,achieved
acheive,achieve
acheiving,achieving
acheve,achieve
acheved,achieved
achiev,achieve
achievemente,achievement
achievemet,achievement
achievied,achieved
achievment,achievement
achitecturally,architecturally
achive,achieve
achived,achieved
achivement,achievement
achivements,achievements
achiviement,achievement
achiving,achieving
achocolate,chocolate
achocolates,chocolates
achol,alcohol
acidence,accident
acident,accident
acidents,accidents
acient,ancient
acieve,achieve
acititys,activities
acitivites,activities
acitivities,activities
acitivitis,activities
acitivity,activity
acivities,activities
acke,ache
acknowleage,acknowledge
acknowleages,acknowledges
acknowleges,acknowledges
acommodate,accommodate
acomodate,accommodate
acomodation,accommodation
acomodations,accommodations
acompanied,accompanied
acomplishment,accomplishment
aconomist,economist
acontant,accountant
acoording,according
acordance,accordance
acordding,according
acordeon,accordion
acording,according
acordion,accordion
acorrding,according
acouanted,accounted
acountant,accountant
acountants,accountants
acountent,accountant
acounting,accounting
acounts,accounts
acourding,according
acoustomed,accustomed
acpecially,especially
acqua,aqua
acquanted,acquainted
acquarium,aquarium
acquistion,acquisition
acqured,acquired
acress,actress
acresses,actresses
acrobaties,acrobatics
acroos,across
acrosses,across
acrossing,crossing
acsedant,accident
acsesoirs,accessories
acsess,access
acsessorios,accessories
acsessorise,accessory
acter,actor
acticle,article
actitudes,attitudes
activ,active
activaties,activities
activeties,activities
activety,activity
actividitys,activities
activietis,activities
activit,activity
activite,activity
activites,activities
activitie,activity
activitis,activities
activitivs,activities
activitiy,activity
activittes,activities
activity,activities
activitys,activities
activivities,activities
activiy,activity
activties,activities
activtievs,activities
actons,actions
actores,actors
actrees,actress
actrees,actresses
actres,actors
actres,actress
actressess,actresses
actris,actress
acttivities,activities
acttually,actually
actuality,actually
actualizaition,actualization
actuall,actual
actuallity,actuality
actuallt,actuality
actualy,actually
actuel,actual
actulized,actualized
actully,actually
acturelly,actually
actuslly,actually
actvities,activities
actvity,activity
actvitys,activities
acually,actually
acuarium,aquarium
acuatic,aquatic
acumulated,accumulated
acumulates,accumulates
acupunturist,acupuncturist
acurately,accurately
acustic,acoustic
acustomed,accustomed
acutally,actually
acutualized,actualized
acutually,actually
acutualy,actually
acutully,actually
acuustomed,accustomed
ad,add
ad,ads
ad,advert
ad,advertisement
adain,again
adance,advance
adappting,adapting
adaptate,adapt
adaptated,adapted
adaptating,adapting
adaptble,adaptable
ad,as
adavantageous,advantageous
adavantages,advantages
adction,addition
addctions,addictions
adde,add
addept,adept
addes,adds
addes,added
addess,address
addication,addiction
addicion,addition
addicion,addiction
addicional,additional
addicionally,additionally
addicionaly,additionally
addicition,addiction
addiciton,addicition
addiciton,addiction
addiction,addition
addictional,additional
addictions,addictions
addictoin,addiction
addicton,addiction
addicyion,addiction
addidtant,assistant
youeself,yourself
youes,yours
youe,your
youga,younger
youger,younger
yougest,youngest
yough,youth
yougth,youth
youg,young
youir,your
youi,you
yound,young
youn,young
you're,your
you'r,your
you'r,you're
you's,yours
that'll,that will
hehehe,hehe
heheheh,hehe
hehehehe,hehe
heheheheh,hehe
hehehehehe,hehe
heheheheheh,hehe
hehehehehehe,hehe
heheheheheheh,hehe
hehehehehehehe,hehe
heheheheheheheh,hehe
hehehehehehehehe,hehe
heheheheheheheheh,hehe
yogourt,yogurt
yohurt,yogurt
yoirk,york
yoir,your
yokyo,tokyo
yollew,yellow
yollow,yellow
yollw,yellow
yonger,younger
yongest,youngest
yong,young
yonng,young
yoong,young
yoour,your
yoou,you
yoo,you
yopu,you
yore,your
yorself,yourself
yorselves,yourselves
yors,yours
yor,your
yo,to
chidern,children
mared,married
youa,yoga
evet,event
dutty,duty
you'er,you're
yeys,eyes
yhat,that
yhere,there
yhe,the
yhink,think
yhis,this
yhomas,thomas
yhursday,thursday
yime,time
yis,his
yiy,you
yllow,yellow
yoek,york
yogga,yoga
yoghrt,yogurt
yoghurts,yogurts
yoghurt,yogurt
yoghur,yogurt
alawais,always
datebase,database
peopel,people
frendly,friendly
engeener,engineer
importand,important
sorfing,surfing
dieases,diseases
diease,disease
scirts,skirts
scirt,skirt
scits,skits
scit,skit
confict,conflict
aeroport,airport
heppens,happens
carees,career
whas,was
posible,possible
wiht,with
usefull,useful
becom,become
confortable,comfortable
succeful,successful
besta,best
regars,regards
bouth,both
teaher,teacher
clouths,clothes
rgds,regards
brillant,brilliant
heathy,healthy
bule,blue
havent,haven't
corage,courage
usely,usually
dresse,dresses
thecher,teacher
strowberry,strawberry
carefull,careful
cant,can't
sandviches,sandwiches
companyy,company
c,see
danc,dance
de,the
ivining,evening
diche,dish
wosher,washer
afternon,afternoon
cheking,checking
dres,dress
togather,together
fife,five
especialization,specialization
evere,every
exhilarantig,exhilarating
experiance,experience
expres,express
famile,family
hoby,hobby
fiftee,fifty
fiftey,fifty
finised,finished
elementry,elementary
analize,analyze
everbody,everybody
taibels,tables
footbaal,football
tranier,trainer
tomatos,tomatoes
clotches,clothes
holody,holiday
visitng,visiting
fourtee,fourteen
dollares,dollars
frend,friend
friaday,friday
fut,foot
celebritie,celebrity
dougther,daughter
clareance,clearance
brather,brother
soem,some
appoitment,appointment
tetchr,teacher
beeing,being
beeings,beings
stadying,studying
friens,friends
alound,around
remakable,remarkable
hasband,husband
wheather,weather
didnt,didn't
dicided,decided
dicide,decide
dicides,decides
insurence,insurance
somentimes,sometimes
asistant,assistant
evining,evening
lernin,learning
eletronic,electronic
industral,industrial
administracion,administration
ingener,engineer
sistem,system
diferent,different
carrer,career
insearence,insurance
evenng,evening
evennig,evening
trangular,triangular
kicthen,kitchen
moorning,morning
nigt,night
nyt,night
officee,office
oficce,office
shopp,shop
breake,break
turist,tourist
apreciate,appreciate
dinamic,dynamic
approximalety,approximately
eares,years
telefon,telephone
fon,phone
childrens,children
equipamnt,equipment
verry,very
verrrrrry,very
sitution,situation
comfotable,comfortable
turesday,tuesday
failmly,family
weekind,weekend
yea,yeah
yestaday,yesterday
yestarday,yesterday
yesteday,yesterday
yesterady,yesterday
yesteray,yesterday
yesterda,yesterday
yesterdey,yesterday
yestersay,yesterday
yester,yesterday
yestoday,yesterday
yestuday,yesterday
yesturday,yesterday
yeling,yelling
yellom,yellow
yellonw,yellow
yellon,yellow
yelloow,yellow
yelloo,yellow
yellos,yellow
yellou,yellow
yellowm,yellow
yellowr,yellower
yello,yellow
yelloy,yellow
yellwe,yellow
yellw,yellow
yeloow,yellow
yelows,yellow
yeloww,yellow
yeollon,yellow
yeollow,yellow
yeors,years
yerars,years
yeld,yield
yellostone,yellowstone
yerar,year
yeras,years
yera,years
yerds,herds
yeres,years
yersey,jersey
yerstayday,yesterday
yersterday,yesterday
yers,year
yers,years
yer,year
yery,very
yesllow,yellow
yesrs,years
yesr,years
yehhh,yeah
yeears,years
yeel,yell
yeesterday,yesterday
alloewd,allowed
inscrease,increase
promissed,promised
wonderly,wonderfully
wainting,waiting
holyday,holiday
creat,create
univercity,university
recomend,recommend
nex,next
jewelrys,jewelry
becous,because
hause,house
knowledges,knowledge
lenguje,language
leerning,learning
boll,ball
appatment,apartment
laught,laughed
serius,serious
expericance,experience
difrent,different
daugther,daughter
naem,name
medicin,medicine
maried,married
custmor,customer
emais,emails
engenner,engineer
goog,good
namber,number
cryed,cried
comunication,communication
fhone,phone
telefhone,telephone
telefone,telephone
japanes,japanese
appliciant,applicant
centmeters,centimeters
thge,the
corse,course
tkink,think
paly,play
inteligent,intelligent
phon,phone
telephon,telephone
nambr,number
peperrone,peperoni
finaly,finally
ower,over
fiends,friends
servey,survey
lersson,lesson
restaurante,restaurant
robbet,robbed
robbet,robber
safary,safari
manger,manager
sarted,started
tham,them
exiting,exciting
likess,likes
shorth,short
sacored,scored
sistear,sister
nad,and
partys,parties
speek,speak
waching,watching
sutarday,saturday
medecine,medicine
studie,study
supermarkt,supermarket
interwined,intertwined
sweing,sewing
desien,design
wering,wearing
swuim,swim
flght,flight
maximun,maximum
eletrotenic,electronic
hausework,housework
enviroment,environment
wifh,with
managment,management
theathers,theaters
hoel,hotel
shoud,should
difficutld,difficult
twince,twice
desepcion,decepcion
heardphones,headphones
mor,more
meetting,meeting
peploe,people
noteboks,notebooks
fetival,festival
choosed,choose
followwing,following
ranning,running
gassip,gossip
headphonues,headphones
equipament,equipment
developement,development
eneryone,everyone
hoy,hot
clothers,clothes
mariage,marriage
occure,occur
twise,twice
vell,well
vry,very
interesanting,interesting
seperate,separate
drow,draw
sik,sick
theather,theater
webcite,website
familly,family
wery,very
suddently,suddenly
clouthes,clothes
whatch,watch
moivies,movies
preffered,preferred
bottes,bottles
experirience,experience
motorcyclets,motorcycles
afterall,after all
airconditioner,air conditioner
airconditioning,air conditioning
atleast,at least
gimme,give me
iam,i am
iam,i'm
adress,address
afertonn,afternoon
ahd,and
aireplane,airplane
alloed,allowed
lookup,look-up
likeing,liking
onde,one
wawed,waved
ang,and
anjoy,enjoy
antropology,anthropology
appartment,apartment
applicatio,application
approprite,appropriate
apreciates,appreciates
assistand,assistant
assistence,assistance
atletic,athletic
atmospher,atmosphere
attendantat,attendant
ay,at
badmin,badminton
badmionton,badminton
badrooms,bedrooms
baseketball,basketball
bathromm,bathroom
baye,bye
beatifull,beautiful
beautifuli,beautiful
cosidered,considered
couse,because
becouse,because
becuse,because
stydind,studying
begginer,beginner
behaviors,behavior
beit,belt
benn,been
rensponsability,responsibility
spreaded,spread
beutiful,beautiful
bicicle,bicycle
bie,bye
bigining,beginning
birhtday,birthday
birtday,birthday
birthaday,birthday
boodbye,goodbye
bood,good
bookstor,bookstore
stor,store
bording,boarding
borings,boring
botle,bottle
boyfrien,boyfriend
breackfast,breakfast
breakfat,breakfast
brids,birds
bronw,brown
bronwn,brown
browne,brown
buing,buying
buisiness,business
buisness,business
buisnes,business
businece,business
busines,business
businesse,business
businiess,business
businness,business
bussiness,business
bussinness,business
bussnes,business
buisinessman,businessman
buisnessman,businessman
buisnesman,businessman
busineceman,businessman
businesman,businessman
businesseman,businessman
businiessman,businessman
businnessman,businessman
bussinesman,businessman
bussinessman,businessman
bussinnessman,businessman
bussnesman,businessman
buisinesswoman,businesswoman
buisnesswoman,businesswoman
buisneswoman,businesswoman
businecewoman,businesswoman
busineswoman,businesswoman
businessewoman,businesswoman
businiesswoman,businesswoman
businnesswoman,businesswoman
bussineswoman,businesswoman
bussinesswoman,businesswoman
bussinnesswoman,businesswoman
bussneswoman,businesswoman
somestimes,sometimes
shoting,shooting
cam,can
cantact,contact
souce,sauce
chaies,chairs
characteres,characters
chealdren,children
chil,child
chil,chill
classicl,classical
cleanig,cleaning
breack,break
coleagues,colleagues
competion,competition
conect,connect
confortables,comfortable
contet,content
corser,coarser
costumers,customers
costumer,customer
could't,couldn't
couldnt,couldn't
countryes,countries
cruse,cruise
cruse,curse
curtaing,curtain
daer,dear
dancd,dance
dancd,danced
dangrerous,dangerous
darck,dark
daugthers,daughters
dauters,daughters
dauter,daughter
definetely,definitely
delicius,delicious
delphines,dolphins
deposite,deposit
descks,desks
descrimination,discrimination
deseases,diseases
desember,december
desert,dessert
designe,designer
desinger,designer
dezember,december
differnt,different
dificul,difficult
discont,discount
documentarie,documentary
slepping,sleeping
dolar,dollar
dollers,dollars
somthing,something
driks,drinks
drnk,drink
drnks,drinks
dropp,drop
elefant,elephant
duing,during
duing,doing
durty,dirty
earings,earrings
eduction,education
eigth,eight
electrica,electrical
electronic,electronics
emalis,emails
employess,employees
employe,employee
emplyees,employees
emplyee,employee
enoying,enjoying
enything,anything
equaly,equally
estime,esteem
evary,every
evedy,every
dat,day
eveing,evening
everi,every
everybudy,everybody
evrybody,everybody
evryoone,everyone
evrything,everything
evrywhere,everywhere
excelent,excellent
excitting,exciting
funtion,function
fabolous,fabulous
faborite,favorite
fahrenhait,fahrenheit
faktory,factory
famouse,famous
famouse,farmhouse
farenhit,farenheit
favoreite,favorite
favority,favorite
femal,female
ferst,first
fhater,father
fifity,fifty
tree,three
filmde,filmed
steatment,statements
firs,first
firts,first
firty,forty
fishin,fishing
fishs,fishes
fitnes,fitness
fivety,fifty
sxcreen,screen
flashligh,flashlight
attendand,attendant
flor,floor
fone,phone
fo,of
foof,food
comming,coming
foreing,foreign
form,from
from,form
forteen,fourteen
forword,forward
foury,forty
fouty,forty
foward,forward
freedon,freedom
freind,friend
freinds,friends
frends,friends
fresbee,frisbee
fridy,friday
frisbe,frisbee
frist,first
fruites,fruits
funier,funnier
fuorteen,fourteen
futball,football
fuuny,funny
garag,garage
gide,guide
gingre,ginger
girlfried,girlfriend
girlfrind,girlfriend
giuttar,guitar
givven,given
fasades,facades
keper,keeper
goalkeper,goalkeeper
goalkepper,goalkeeper
gold,golf
goning,going
mornig,morning
thigs,things
thig,thing
thigs,thighs
thig,thigh
gradmothers,grandmothers
gradmother,grandmother
gradfathers,grandfathers
gradfather,grandfather
graddaughters,granddaughters
graddaughter,granddaughter
gradsons,grandsons
gradson,grandson
gradmas,grandmas
gradma,grandma
graf,graph
grafs,graphs
grafik,graphic
grafiks,graphics
gratuate,graduate
gratuated,graduated
greatings,greetings
gree,green
haose,house
happly,happy
happly,happily
someting,something
tge,the
havier,heavier
scholl,school
scool,school
highth,height
hight,height
hight,high
hig,high
raddish,radish
hospitle,hospital
allready,already
hourse,horse
houswife,housewife
hrad,hard
hradwork,hardwor
hradworking,hardworking
ceram,cream
doesnt,doesn't
istructor,instructor
imediately,immediately
impecable,impeccable
imporve,improve
comptability,compatibility
increse,increase
ingeneer,engineer
inglish,english
istitution,institution
iternational,international
installition,installation
interessting,interesting
interresring,interesting
interresting,interesting
interstening,interesting
intruduce,introduce
investiment,investment
investiments,investments
promisd,promised
promis,promise
iput,input
irny,irony
missunderstood,misunderstood
wated,wanted
wated,waited
jaja,haha
jajajajaja,haha
jaket,jacket
keaboards,keyboards
keybords,keyboards
keaboard,keyboard
keybord,keyboard
konw,know
kown,known
lasy,lazy
laudry,laundry
laundri,laundry
leggins,leggings
leggin,legging
lenguages,languages
lerning,learning
professionel,professional
linch,lunch
lisent,listen
listenning,listening
litlle,little
livin,liveing
lof,lot
lonh,long
houres,hours
loundry,laundry
loyality,loyalty
luch,lunch
luchs,lunch
lve,live
mames,names
mame,name
mam,ma'am
maam,ma'am
mane,name
suspicius,suspicious
markerting,marketing
masurment,measurement
masurments,measurements
matbe,maybe
maters,matters
mater,matter
misic,music
moer,more
moka,mocha
mokey,monkey
mokeys,monkeys
pictuere,picture
montaines,mountains
mooped,mopped
particulary,particularly
moring,morning
morining,morning
motehr,mother
mothes,mother
bikking,biking
mounth,month
museuns,museums
musten't,mustn't
mustnt,mustn't
acutal,actual
apatment,apartment
bithday,birthday
doughter,daughter
famia,family
selfe,selfie
naems,name
nambar,number
neccessary,necessary
negociating,negotiating
neigbor,neighbour
neigbors,neighbours
nember,member
companie,company
nigh,night
nise,nice
nme,name
nothern,northern
techinque,technique
occaionally,occasionally
indien,indian
clokck,clock
clok,clock
cloock,clock
bolwing,bowling
footbal,football
systers,sisters
syster,sister
goodbie,goodbye
oportunity,opportunity
opportunties,opportunities
optin,option
thers,there
pactice,practice
palstic,plastic
palyful,playful
paralized,paralysed
pensils,pencils
pensil,pencil
peple,people
pepole,people
perens,parents
perfekt,perfect
perfomance,performance
perfum,perfume
petroleun,petroleum
phoon,phone
phoone,phone
picnick,picnic
planing,planning
playin,playing
pleace,please
pleasan,pleasant
pleasent,pleasant
ply,play
practicing,practising
pregancy,pregnancy
productibity,productivity
professionaly,professionally
programms,programmes
proudction,production
publik,public
quaterly,quarterly
rainning,raining
releaxed,relaxed
requeriments,requirements
restarants,restaurants
restourant,restaurant
retaurant,restaurant
rotine,routine
runing,running
schouldn't,shouldn't
shouldnt,shouldn't
scify,scifi
screm,scream
separted,separated
serie,series
seting,setting
sevice,service
shoked,shocked
shouls,should
